* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2100,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2025,ANZ,SSP5,0,0.11,0.53,0.96,0.11,0.11,0.11"
"y2055,ANZ,SSP1,0,0.55,2.76,4.97,0.55,0.55,0.55"
"y2050,ANZ,SSP1,0,0.47,2.36,4.26,0.47,0.47,0.47"
"y2055,ANZ,SSP2,0,0.42,2.11,3.81,0.42,0.42,0.42"
"y2095,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2030,ANZ,SSP5,0,0.21,1.06,1.91,0.21,0.21,0.21"
"y2040,ANZ,SSP1,0,0.32,1.58,2.84,0.32,0.32,0.32"
"y2045,ANZ,SSP1,0,0.39,1.97,3.55,0.39,0.39,0.39"
"y2090,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2085,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2080,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2080,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2035,BRA,SSP2,0,1.28,6.42,11.55,0,1.28,1.28"
"y2100,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2070,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2040,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2030,BRA,SSP2,0,0.86,4.28,7.7,0,0.86,0.86"
"y2045,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2025,BRA,SSP2,0,0.43,2.14,3.85,0,0.43,0.43"
"y2090,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2065,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2055,BRA,SSP3,0,1.19,5.94,10.69,0,1.19,1.19"
"y2060,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2070,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2035,BRA,SSP4,0,1.39,6.96,12.52,0,1.39,1.39"
"y2095,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2045,BRA,SSP3,0,0.85,4.24,7.64,0,0.85,0.85"
"y2065,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2075,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2100,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2075,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2090,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2075,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2060,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2095,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2040,BRA,SSP3,0,0.68,3.39,6.11,0,0.68,0.68"
"y2085,BRA,SSP3,0,2.21,11.03,19.86,0,2.21,2.21"
"y2095,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2050,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2085,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2090,BRA,SSP3,0,2.38,11.88,21.39,0,2.38,2.38"
"y2060,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2050,BRA,SSP3,0,1.02,5.09,9.17,0,1.02,1.02"
"y2100,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2035,BRA,SSP3,0,0.51,2.55,4.58,0,0.51,0.51"
"y2070,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2065,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2050,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2100,BRA,SSP3,0,2.72,13.58,24.44,0,2.72,2.72"
"y2090,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2025,BRA,SSP4,0,0.46,2.32,4.17,0,0.46,0.46"
"y2055,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2030,BRA,SSP3,0,0.34,1.7,3.06,0,0.34,0.34"
"y2050,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2070,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2030,BRA,SSP4,0,0.93,4.64,8.35,0,0.93,0.93"
"y2055,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2085,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2055,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2045,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2030,BRA,SSP5,0,0.77,3.85,6.93,0,0.77,0.77"
"y2070,BRA,SSP3,0,1.7,8.49,15.28,0,1.7,1.7"
"y2050,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2075,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2035,BRA,SSP5,0,1.16,5.78,10.4,0,1.16,1.16"
"y2100,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2075,BRA,SSP3,0,1.87,9.34,16.8,0,1.87,1.87"
"y2055,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2025,BRA,SSP5,0,0.39,1.93,3.47,0,0.39,0.39"
"y2095,BRA,SSP3,0,2.55,12.73,22.92,0,2.55,2.55"
"y2065,BRA,SSP3,0,1.53,7.64,13.75,0,1.53,1.53"
"y2080,BRA,SSP3,0,2.04,10.18,18.33,0,2.04,2.04"
"y2060,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2025,BRA,SSP3,0,0.17,0.85,1.53,0,0.17,0.17"
"y2095,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2080,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2045,BRA,SSP2,0,2.14,10.69,19.25,0,2.14,2.14"
"y2025,BRA,SSP1,0,0.43,2.14,3.86,0,0.43,0.43"
"y2060,BRA,SSP3,0,1.36,6.79,12.22,0,1.36,1.36"
"y2090,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2040,BRA,SSP2,0,1.71,8.55,15.4,0,1.71,1.71"
"y2045,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2040,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2035,BRA,SSP1,0,1.29,6.43,11.58,0,1.29,1.29"
"y2040,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2080,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2085,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2065,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2030,BRA,SSP1,0,0.86,4.29,7.72,0,0.86,0.86"
"y2055,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2050,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2060,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2095,CAN,SSP4,0,0.58,2.9,5.21,0.58,0.58,0.58"
"y2025,CAN,SSP3,0,0.04,0.19,0.34,0.04,0.04,0.04"
"y2065,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2090,CAN,SSP4,0,0.58,2.9,5.21,0.58,0.58,0.58"
"y2090,CAN,SSP1,0,0.92,4.58,8.25,0.92,0.92,0.92"
"y2085,CAN,SSP2,0,0.81,4.06,7.31,0.81,0.81,0.81"
"y2030,CAN,SSP3,0,0.07,0.37,0.67,0.07,0.07,0.07"
"y2070,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2060,CAN,SSP2,0,0.5,2.5,4.5,0.5,0.5,0.5"
"y2050,CAN,SSP1,0,0.39,1.96,3.54,0.39,0.39,0.39"
"y2040,CAN,SSP3,0,0.15,0.74,1.34,0.15,0.15,0.15"
"y2025,CAN,SSP2,0,0.06,0.31,0.56,0.06,0.06,0.06"
"y2035,CAN,SSP2,0,0.19,0.94,1.69,0.19,0.19,0.19"
"y2075,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2100,CAN,SSP4,0,0.58,2.9,5.21,0.58,0.58,0.58"
"y2030,CAN,SSP2,0,0.12,0.62,1.12,0.12,0.12,0.12"
"y2100,CAN,SSP2,0,0.87,4.37,7.87,0.87,0.87,0.87"
"y2070,CAN,SSP2,0,0.62,3.12,5.62,0.62,0.62,0.62"
"y2080,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2045,CAN,SSP3,0,0.19,0.93,1.68,0.19,0.19,0.19"
"y2080,CAN,SSP1,0,0.79,3.93,7.07,0.79,0.79,0.79"
"y2065,CAN,SSP1,0,0.59,2.95,5.3,0.59,0.59,0.59"
"y2085,CAN,SSP5,0,1.59,7.94,14.3,1.59,1.59,1.59"
"y2090,CAN,SSP2,0,0.87,4.37,7.87,0.87,0.87,0.87"
"y2095,CAN,SSP2,0,0.87,4.37,7.87,0.87,0.87,0.87"
"y2085,CAN,SSP1,0,0.85,4.26,7.66,0.85,0.85,0.85"
"y2065,CAN,SSP2,0,0.56,2.81,5.06,0.56,0.56,0.56"
"y2055,CAN,SSP1,0,0.46,2.29,4.13,0.46,0.46,0.46"
"y2075,CAN,SSP1,0,0.72,3.6,6.48,0.72,0.72,0.72"
"y2035,CAN,SSP3,0,0.11,0.56,1.01,0.11,0.11,0.11"
"y2055,CAN,SSP2,0,0.44,2.19,3.94,0.44,0.44,0.44"
"y2045,CAN,SSP1,0,0.33,1.64,2.95,0.33,0.33,0.33"
"y2025,CAN,SSP5,0,0.12,0.61,1.1,0.12,0.12,0.12"
"y2095,CAN,SSP1,0,0.92,4.58,8.25,0.92,0.92,0.92"
"y2035,CAN,SSP1,0,0.2,0.98,1.77,0.2,0.2,0.2"
"y2055,CAN,SSP5,0,0.86,4.28,7.7,0.86,0.86,0.86"
"y2085,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2080,CAN,SSP2,0,0.75,3.75,6.75,0.75,0.75,0.75"
"y2100,CAN,SSP1,0,0.92,4.58,8.25,0.92,0.92,0.92"
"y2040,CAN,SSP1,0,0.26,1.31,2.36,0.26,0.26,0.26"
"y2090,CAN,SSP5,0,1.71,8.55,15.4,1.71,1.71,1.71"
"y2040,CAN,SSP2,0,0.25,1.25,2.25,0.25,0.25,0.25"
"y2030,CAN,SSP1,0,0.13,0.65,1.18,0.13,0.13,0.13"
"y2060,CAN,SSP1,0,0.52,2.62,4.72,0.52,0.52,0.52"
"y2065,CAN,SSP5,0,1.1,5.5,9.9,1.1,1.1,1.1"
"y2095,CAN,SSP5,0,1.83,9.17,16.5,1.83,1.83,1.83"
"y2075,CAN,SSP2,0,0.69,3.44,6.18,0.69,0.69,0.69"
"y2070,CAN,SSP5,0,1.22,6.11,11,1.22,1.22,1.22"
"y2060,CAN,SSP4,0,0.39,1.93,3.48,0.39,0.39,0.39"
"y2100,CAN,SSP5,0,1.96,9.78,17.6,1.96,1.96,1.96"
"y2030,CAN,SSP5,0,0.24,1.22,2.2,0.24,0.24,0.24"
"y2070,CAN,SSP1,0,0.65,3.27,5.89,0.65,0.65,0.65"
"y2075,CAN,SSP5,0,1.34,6.72,12.1,1.34,1.34,1.34"
"y2060,CAN,SSP5,0,0.98,4.89,8.8,0.98,0.98,0.98"
"y2090,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2035,CAN,SSP5,0,0.37,1.83,3.3,0.37,0.37,0.37"
"y2080,CAN,SSP5,0,1.47,7.33,13.2,1.47,1.47,1.47"
"y2070,CAN,SSP4,0,0.48,2.41,4.35,0.48,0.48,0.48"
"y2040,CAN,SSP4,0,0.19,0.97,1.74,0.19,0.19,0.19"
"y2045,CAN,SSP2,0,0.31,1.56,2.81,0.31,0.31,0.31"
"y2040,CAN,SSP5,0,0.49,2.44,4.4,0.49,0.49,0.49"
"y2030,CAN,SSP4,0,0.1,0.48,0.87,0.1,0.1,0.1"
"y2075,CAN,SSP4,0,0.53,2.66,4.78,0.53,0.53,0.53"
"y2080,CAN,SSP4,0,0.58,2.9,5.21,0.58,0.58,0.58"
"y2050,CAN,SSP2,0,0.37,1.87,3.37,0.37,0.37,0.37"
"y2045,CAN,SSP5,0,0.61,3.06,5.5,0.61,0.61,0.61"
"y2065,CAN,SSP4,0,0.43,2.17,3.91,0.43,0.43,0.43"
"y2045,CAN,SSP4,0,0.24,1.21,2.17,0.24,0.24,0.24"
"y2095,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2055,CAN,SSP4,0,0.34,1.69,3.04,0.34,0.34,0.34"
"y2050,CAN,SSP5,0,0.73,3.67,6.6,0.73,0.73,0.73"
"y2035,CAN,SSP4,0,0.14,0.72,1.3,0.14,0.14,0.14"
"y2050,CAN,SSP4,0,0.29,1.45,2.61,0.29,0.29,0.29"
"y2025,CAN,SSP1,0,0.07,0.33,0.59,0.07,0.07,0.07"
"y2025,CAN,SSP4,0,0.05,0.24,0.43,0.05,0.05,0.05"
"y2085,CAN,SSP4,0,0.58,2.9,5.21,0.58,0.58,0.58"
"y2100,CAN,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2095,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2060,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2040,CHA,SSP2,0,11.98,59.92,107.85,0,11.98,11.98"
"y2045,CHA,SSP2,0,14.98,74.9,134.81,0,14.98,14.98"
"y2085,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2090,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2085,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2080,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2085,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2035,CHA,SSP2,0,8.99,44.94,80.89,0,8.99,8.99"
"y2065,CHA,SSP3,0,2.79,13.93,25.08,0,2.79,2.79"
"y2100,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2080,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2045,CHA,SSP4,0,30.5,152.48,274.46,0,30.5,30.5"
"y2030,CHA,SSP2,0,5.99,29.96,53.93,0,5.99,5.99"
"y2100,CHA,SSP3,0,2.8,14.01,25.22,0,2.8,2.8"
"y2065,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2045,CHA,SSP3,0,2.78,13.89,25,0,2.78,2.78"
"y2060,CHA,SSP3,0,2.78,13.92,25.06,0,2.78,2.78"
"y2030,CHA,SSP3,0,1.39,6.94,12.49,0,1.39,1.39"
"y2100,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2070,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2050,CHA,SSP3,0,2.78,13.9,25.02,0,2.78,2.78"
"y2025,CHA,SSP2,0,3,14.98,26.96,0,3,3"
"y2090,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2050,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2075,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2055,CHA,SSP3,0,2.78,13.91,25.04,0,2.78,2.78"
"y2095,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2080,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2070,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2040,CHA,SSP4,0,30.45,152.27,274.09,0,30.45,30.45"
"y2070,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2095,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2055,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2075,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2095,CHA,SSP3,0,2.8,14,25.2,0,2.8,2.8"
"y2070,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2100,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2035,CHA,SSP4,0,22.84,114.2,205.57,0,22.84,22.84"
"y2025,CHA,SSP3,0,0.69,3.47,6.25,0,0.69,0.69"
"y2075,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2060,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2055,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2090,CHA,SSP3,0,2.8,13.99,25.18,0,2.8,2.8"
"y2025,CHA,SSP4,0,7.61,38.07,68.52,0,7.61,7.61"
"y2075,CHA,SSP3,0,2.79,13.96,25.12,0,2.79,2.79"
"y2065,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2035,CHA,SSP3,0,2.08,10.41,18.74,0,2.08,2.08"
"y2040,CHA,SSP5,0,15.22,76.1,136.97,0,15.22,15.22"
"y2075,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2030,CHA,SSP1,0,7.61,38.05,68.48,0,7.61,7.61"
"y2040,CHA,SSP3,0,2.78,13.88,24.98,0,2.78,2.78"
"y2085,CHA,SSP3,0,2.8,13.98,25.16,0,2.8,2.8"
"y2030,CHA,SSP5,0,7.61,38.05,68.49,0,7.61,7.61"
"y2065,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2050,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2035,CHA,SSP5,0,11.41,57.07,102.73,0,11.41,11.41"
"y2050,CHA,SSP5,0,22.83,114.14,205.46,0,22.83,22.83"
"y2025,CHA,SSP1,0,3.8,19.02,34.24,0,3.8,3.8"
"y2050,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2060,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2080,CHA,SSP3,0,2.79,13.97,25.14,0,2.79,2.79"
"y2030,CHA,SSP4,0,15.23,76.14,137.05,0,15.23,15.23"
"y2090,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2055,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2065,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2070,CHA,SSP3,0,2.79,13.95,25.1,0,2.79,2.79"
"y2060,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2035,CHA,SSP1,0,11.41,57.07,102.72,0,11.41,11.41"
"y2100,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2080,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
"y2095,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2085,CHA,SSP2,0,15.02,75.08,135.14,0,15.02,15.02"
