* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2045,DEA,SSP3,0,0,0,0,0,0,0"
"y2095,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2030,DEA,SSP2,0,0.4,2,3.6,0.4,0.4,0.4"
"y2035,DEA,SSP2,0,0.46,2.28,4.1,0.46,0.46,0.46"
"y2060,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2085,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2100,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2045,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2075,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2050,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2080,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2035,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2075,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2080,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2090,DEA,SSP3,0,0,0,0,0,0,0"
"y2085,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2040,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2030,DEA,SSP3,0,0,0,0,0,0,0"
"y2055,DEA,SSP5,0,1.61,8.06,14.5,1.61,1.61,1.61"
"y2075,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2040,DEA,SSP5,0,0.97,4.83,8.69,0.97,0.97,0.97"
"y2025,DEA,SSP2,0,0.2,1,1.8,0.2,0.2,0.2"
"y2065,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2080,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2085,DEA,SSP3,0,0,0,0,0,0,0"
"y2090,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2095,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2070,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2085,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2025,DEA,SSP4,0,0.1,0.48,0.87,0.1,0.1,0.1"
"y2095,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2025,DEA,SSP5,0,0.24,1.21,2.17,0.24,0.24,0.24"
"y2035,DEA,SSP3,0,0,0,0,0,0,0"
"y2080,DEA,SSP3,0,0,0,0,0,0,0"
"y2030,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2070,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2040,DEA,SSP3,0,0,0,0,0,0,0"
"y2100,DEA,SSP3,0,0,0,0,0,0,0"
"y2070,DEA,SSP3,0,0,0,0,0,0,0"
"y2065,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2055,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2070,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2050,DEA,SSP5,0,1.45,7.24,13.04,1.45,1.45,1.45"
"y2075,DEA,SSP3,0,0,0,0,0,0,0"
"y2100,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2095,DEA,SSP3,0,0,0,0,0,0,0"
"y2085,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2060,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2100,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2030,DEA,SSP5,0,0.48,2.41,4.35,0.48,0.48,0.48"
"y2045,DEA,SSP5,0,1.21,6.04,10.86,1.21,1.21,1.21"
"y2095,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2045,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2060,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2035,DEA,SSP5,0,0.72,3.62,6.52,0.72,0.72,0.72"
"y2080,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2025,DEA,SSP1,0,0.42,2.12,3.81,0.42,0.42,0.42"
"y2050,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2065,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2090,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2040,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2030,DEA,SSP1,0,0.85,4.24,7.62,0.85,0.85,0.85"
"y2055,DEA,SSP2,0,0.51,2.55,4.59,0.51,0.51,0.51"
"y2045,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2055,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2035,DEA,SSP1,0,1.27,6.35,11.44,1.27,1.27,1.27"
"y2100,DEA,SSP4,0,0.19,0.96,1.73,0.19,0.19,0.19"
"y2050,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2040,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2065,EUR,SSP5,0,7.17,35.87,64.57,7.17,7.17,7.17"
"y2070,EUR,SSP5,0,7.94,39.68,71.42,7.94,7.94,7.94"
"y2055,EUR,SSP5,0,5.65,28.23,50.81,5.65,5.65,5.65"
"y2080,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2075,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2060,EUR,SSP5,0,6.41,32.06,57.72,6.41,6.41,6.41"
"y2060,EUR,SSP3,0,0.57,2.84,5.1,0.57,0.57,0.57"
"y2075,EUR,SSP5,0,8.69,43.46,78.24,8.69,8.69,8.69"
"y2070,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2050,EUR,SSP5,0,4.88,24.39,43.91,4.88,4.88,4.88"
"y2050,EUR,SSP3,0,0.57,2.83,5.09,0.57,0.57,0.57"
"y2065,EUR,SSP3,0,0.57,2.84,5.11,0.57,0.57,0.57"
"y2055,EUR,SSP4,0,3.13,15.66,28.19,3.13,3.13,3.13"
"y2045,EUR,SSP5,0,4.11,20.56,37,4.11,4.11,4.11"
"y2065,EUR,SSP4,0,3.43,17.13,30.84,3.43,3.43,3.43"
"y2050,EUR,SSP4,0,2.86,14.32,25.77,2.86,2.86,2.86"
"y2035,EUR,SSP4,0,1.7,8.52,15.33,1.7,1.7,1.7"
"y2090,EUR,SSP5,0,10.96,54.82,98.68,10.96,10.96,10.96"
"y2045,EUR,SSP3,0,0.53,2.63,4.74,0.53,0.53,0.53"
"y2030,EUR,SSP3,0,0.26,1.32,2.38,0.26,0.26,0.26"
"y2085,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2080,EUR,SSP5,0,9.45,47.25,85.05,9.45,9.45,9.45"
"y2060,EUR,SSP4,0,3.4,17,30.6,3.4,3.4,3.4"
"y2040,EUR,SSP5,0,3.34,16.72,30.1,3.34,3.34,3.34"
"y2025,EUR,SSP2,0,0.48,2.39,4.3,0.48,0.48,0.48"
"y2045,EUR,SSP4,0,2.51,12.54,22.58,2.51,2.51,2.51"
"y2040,EUR,SSP3,0,0.49,2.44,4.39,0.49,0.49,0.49"
"y2025,EUR,SSP3,0,0.13,0.66,1.19,0.13,0.13,0.13"
"y2055,EUR,SSP3,0,0.57,2.83,5.1,0.57,0.57,0.57"
"y2030,EUR,SSP2,0,0.95,4.77,8.59,0.95,0.95,0.95"
"y2045,EUR,SSP2,0,2.19,10.97,19.75,2.19,2.19,2.19"
"y2035,EUR,SSP5,0,2.52,12.61,22.69,2.52,2.52,2.52"
"y2090,EUR,SSP3,0,0.57,2.86,5.15,0.57,0.57,0.57"
"y2035,EUR,SSP2,0,1.39,6.95,12.51,1.39,1.39,1.39"
"y2040,EUR,SSP4,0,2.15,10.77,19.39,2.15,2.15,2.15"
"y2095,EUR,SSP5,0,11.6,57.98,104.37,11.6,11.6,11.6"
"y2035,EUR,SSP3,0,0.38,1.88,3.38,0.38,0.38,0.38"
"y2095,EUR,SSP3,0,0.57,2.86,5.16,0.57,0.57,0.57"
"y2040,EUR,SSP2,0,1.83,9.13,16.43,1.83,1.83,1.83"
"y2085,EUR,SSP5,0,10.21,51.04,91.87,10.21,10.21,10.21"
"y2085,EUR,SSP3,0,0.57,2.86,5.14,0.57,0.57,0.57"
"y2095,EUR,SSP1,0,7.05,35.25,63.46,7.05,7.05,7.05"
"y2100,EUR,SSP3,0,0.57,2.87,5.16,0.57,0.57,0.57"
"y2080,EUR,SSP1,0,6.65,33.25,59.84,6.65,6.65,6.65"
"y2100,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2095,EUR,SSP2,0,4.36,21.81,39.25,4.36,4.36,4.36"
"y2025,EUR,SSP4,0,0.67,3.36,6.06,0.67,0.67,0.67"
"y2085,EUR,SSP1,0,6.84,34.21,61.58,6.84,6.84,6.84"
"y2055,EUR,SSP1,0,4.82,24.12,43.41,4.82,4.82,4.82"
"y2025,EUR,SSP5,0,0.87,4.33,7.8,0.87,0.87,0.87"
"y2100,EUR,SSP2,0,4.49,22.46,40.43,4.49,4.49,4.49"
"y2030,EUR,SSP4,0,1.19,5.97,10.74,1.19,1.19,1.19"
"y2090,EUR,SSP1,0,7.03,35.16,63.3,7.03,7.03,7.03"
"y2100,EUR,SSP5,0,12.23,61.14,110.06,12.23,12.23,12.23"
"y2075,EUR,SSP2,0,3.79,18.94,34.1,3.79,3.79,3.79"
"y2060,EUR,SSP2,0,3.17,15.83,28.49,3.17,3.17,3.17"
"y2050,EUR,SSP1,0,4.19,20.93,37.68,4.19,4.19,4.19"
"y2045,EUR,SSP1,0,3.54,17.71,31.88,3.54,3.54,3.54"
"y2080,EUR,SSP2,0,3.94,19.71,35.48,3.94,3.94,3.94"
"y2100,EUR,SSP1,0,7.07,35.34,63.62,7.07,7.07,7.07"
"y2065,EUR,SSP2,0,3.4,17,30.6,3.4,3.4,3.4"
"y2035,EUR,SSP1,0,2.21,11.03,19.85,2.21,2.21,2.21"
"y2090,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2080,EUR,SSP3,0,0.57,2.85,5.13,0.57,0.57,0.57"
"y2070,EUR,SSP2,0,3.63,18.17,32.71,3.63,3.63,3.63"
"y2040,EUR,SSP1,0,2.9,14.49,26.07,2.9,2.9,2.9"
"y2075,EUR,SSP3,0,0.57,2.85,5.13,0.57,0.57,0.57"
"y2030,EUR,SSP5,0,1.7,8.49,15.29,1.7,1.7,1.7"
"y2065,EUR,SSP1,0,5.83,29.16,52.49,5.83,5.83,5.83"
"y2075,EUR,SSP1,0,6.43,32.13,57.84,6.43,6.43,6.43"
"y2055,EUR,SSP2,0,2.87,14.33,25.79,2.87,2.87,2.87"
"y2060,EUR,SSP1,0,5.46,27.3,49.14,5.46,5.46,5.46"
"y2070,EUR,SSP1,0,6.2,31.02,55.84,6.2,6.2,6.2"
"y2090,EUR,SSP2,0,4.23,21.15,38.07,4.23,4.23,4.23"
"y2070,EUR,SSP3,0,0.57,2.84,5.12,0.57,0.57,0.57"
"y2085,EUR,SSP2,0,4.09,20.43,36.78,4.09,4.09,4.09"
"y2050,EUR,SSP2,0,2.56,12.82,23.08,2.56,2.56,2.56"
"y2025,EUR,SSP1,0,0.76,3.79,6.81,0.76,0.76,0.76"
"y2095,EUR,SSP4,0,3.45,17.25,31.05,3.45,3.45,3.45"
"y2030,EUR,SSP1,0,1.51,7.57,13.63,1.51,1.51,1.51"
"y2085,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2090,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2080,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2100,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2065,IND,SSP3,0,14.79,73.97,133.15,0,0,14.79"
"y2070,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2075,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2055,IND,SSP1,0,27.93,139.66,251.39,0,0,27.93"
"y2080,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2035,IND,SSP4,0,12.59,62.96,113.32,0,0,12.59"
"y2040,IND,SSP1,0,15.96,79.81,143.65,0,0,15.96"
"y2045,IND,SSP1,0,19.95,99.76,179.56,0,0,19.95"
"y2060,IND,SSP3,0,13.15,65.75,118.36,0,0,13.15"
"y2085,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2065,IND,SSP1,0,35.91,179.56,323.21,0,0,35.91"
"y2050,IND,SSP1,0,23.94,119.71,215.47,0,0,23.94"
"y2035,IND,SSP1,0,11.97,59.85,107.74,0,0,11.97"
"y2045,IND,SSP4,0,20.99,104.93,188.87,0,0,20.99"
"y2095,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2025,IND,SSP1,0,3.99,19.95,35.91,0,0,3.99"
"y2055,IND,SSP3,0,11.51,57.54,103.56,0,0,11.51"
"y2050,IND,SSP4,0,25.18,125.92,226.65,0,0,25.18"
"y2040,IND,SSP3,0,6.58,32.88,59.18,0,0,6.58"
"y2060,IND,SSP1,0,31.92,159.61,287.3,0,0,31.92"
"y2065,IND,SSP5,0,35.72,178.58,321.45,0,0,35.72"
"y2095,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2090,IND,SSP3,0,23.01,115.07,207.13,0,0,23.01"
"y2040,IND,SSP4,0,16.79,83.94,151.1,0,0,16.79"
"y2050,IND,SSP3,0,9.86,49.32,88.77,0,0,9.86"
"y2055,IND,SSP5,0,27.78,138.9,250.02,0,0,27.78"
"y2085,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2075,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2030,IND,SSP2,0,4.19,20.93,37.68,0,0,4.19"
"y2090,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2065,IND,SSP4,0,37.77,188.87,339.97,0,0,37.77"
"y2030,IND,SSP5,0,7.94,39.69,71.43,0,0,7.94"
"y2100,IND,SSP1,0,39.9,199.51,359.12,0,0,39.9"
"y2030,IND,SSP1,0,7.98,39.9,71.82,0,0,7.98"
"y2045,IND,SSP3,0,8.22,41.1,73.97,0,0,8.22"
"y2070,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2035,IND,SSP5,0,11.91,59.53,107.15,0,0,11.91"
"y2070,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2060,IND,SSP4,0,33.58,167.89,302.2,0,0,33.58"
"y2035,IND,SSP3,0,4.93,24.66,44.38,0,0,4.93"
"y2080,IND,SSP3,0,19.73,98.63,177.54,0,0,19.73"
"y2040,IND,SSP5,0,15.87,79.37,142.87,0,0,15.87"
"y2060,IND,SSP5,0,31.75,158.74,285.74,0,0,31.75"
"y2045,IND,SSP5,0,19.84,99.21,178.58,0,0,19.84"
"y2070,IND,SSP3,0,16.44,82.19,147.95,0,0,16.44"
"y2025,IND,SSP3,0,1.64,8.22,14.79,0,0,1.64"
"y2035,IND,SSP2,0,6.28,31.4,56.52,0,0,6.28"
"y2080,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2050,IND,SSP5,0,23.81,119.06,214.3,0,0,23.81"
"y2075,IND,SSP3,0,18.08,90.41,162.74,0,0,18.08"
"y2025,IND,SSP2,0,2.09,10.47,18.84,0,0,2.09"
"y2040,IND,SSP2,0,8.37,41.86,75.35,0,0,8.37"
"y2025,IND,SSP5,0,3.97,19.84,35.72,0,0,3.97"
"y2095,IND,SSP3,0,24.66,123.29,221.92,0,0,24.66"
"y2070,IND,SSP2,0,20.93,104.66,188.38,0,0,20.93"
"y2075,IND,SSP5,0,39.69,198.43,357.17,0,0,39.69"
"y2045,IND,SSP2,0,10.47,52.33,94.19,0,0,10.47"
"y2095,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2085,IND,SSP3,0,21.37,106.85,192.33,0,0,21.37"
"y2075,IND,SSP2,0,23.02,115.12,207.22,0,0,23.02"
"y2055,IND,SSP4,0,29.38,146.9,264.42,0,0,29.38"
"y2100,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2080,IND,SSP2,0,25.12,125.59,226.06,0,0,25.12"
"y2030,IND,SSP3,0,3.29,16.44,29.59,0,0,3.29"
"y2095,IND,SSP2,0,29.3,146.52,263.74,0,0,29.3"
"y2090,IND,SSP4,0,41.97,209.86,377.75,0,0,41.97"
"y2055,IND,SSP2,0,14.65,73.26,131.87,0,0,14.65"
"y2085,IND,SSP2,0,27.21,136.05,244.9,0,0,27.21"
"y2030,IND,SSP4,0,8.39,41.97,75.55,0,0,8.39"
"y2100,IND,SSP2,0,29.3,146.52,263.74,0,0,29.3"
"y2050,IND,SSP2,0,12.56,62.79,113.03,0,0,12.56"
"y2100,IND,SSP3,0,26.3,131.51,236.72,0,0,26.3"
"y2090,IND,SSP2,0,29.3,146.52,263.74,0,0,29.3"
"y2065,IND,SSP2,0,18.84,94.19,169.55,0,0,18.84"
"y2025,IND,SSP4,0,4.2,20.99,37.77,0,0,4.2"
"y2060,IND,SSP2,0,16.75,83.73,150.71,0,0,16.75"
"y2060,MEA,SSP5,0,10.17,50.85,91.52,0,0,0"
"y2080,MEA,SSP5,0,13.25,66.23,119.22,0,0,0"
"y2065,MEA,SSP5,0,11.04,55.18,99.32,0,0,0"
"y2075,MEA,SSP5,0,12.71,63.54,114.37,0,0,0"
"y2055,MEA,SSP5,0,9.18,45.88,82.58,0,0,0"
"y2085,MEA,SSP5,0,13.39,66.97,120.54,0,0,0"
"y2065,MEA,SSP3,0,9.2,46.01,82.81,0,0,0"
"y2085,MEA,SSP4,0,20.56,102.78,185.01,0,0,0"
"y2045,MEA,SSP5,0,6.84,34.18,61.52,0,0,0"
"y2055,MEA,SSP3,0,7.16,35.78,64.41,0,0,0"
"y2090,MEA,SSP5,0,13.54,67.7,121.86,0,0,0"
"y2080,MEA,SSP4,0,19.47,97.36,175.26,0,0,0"
"y2070,MEA,SSP4,0,17.31,86.53,155.75,0,0,0"
"y2050,MEA,SSP5,0,8.18,40.91,73.64,0,0,0"
"y2060,MEA,SSP3,0,8.18,40.9,73.61,0,0,0"
"y2060,MEA,SSP4,0,14.53,72.67,130.81,0,0,0"
"y2070,MEA,SSP5,0,11.9,59.51,107.11,0,0,0"
"y2050,MEA,SSP3,0,6.13,30.67,55.21,0,0,0"
"y2045,MEA,SSP4,0,9.48,47.39,85.3,0,0,0"
"y2025,MEA,SSP2,0,1.02,5.11,9.19,0,0,0"
"y2065,MEA,SSP4,0,15.92,79.6,143.28,0,0,0"
"y2050,MEA,SSP4,0,11.37,56.83,102.3,0,0,0"
"y2035,MEA,SSP4,0,5.69,28.46,51.23,0,0,0"
"y2030,MEA,SSP2,0,2.04,10.21,18.38,0,0,0"
"y2095,MEA,SSP1,0,13.17,65.84,118.51,0,0,0"
"y2055,MEA,SSP4,0,12.95,64.75,116.55,0,0,0"
"y2045,MEA,SSP3,0,5.11,25.56,46.01,0,0,0"
"y2040,MEA,SSP4,0,7.59,37.95,68.31,0,0,0"
"y2095,MEA,SSP5,0,13.6,67.98,122.36,0,0,0"
"y2025,MEA,SSP5,0,1.37,6.86,12.35,0,0,0"
"y2075,MEA,SSP4,0,18.39,91.95,165.51,0,0,0"
"y2075,MEA,SSP1,0,12.09,60.44,108.79,0,0,0"
"y2030,MEA,SSP4,0,3.79,18.97,34.15,0,0,0"
"y2100,MEA,SSP5,0,13.65,68.25,122.85,0,0,0"
"y2030,MEA,SSP5,0,2.74,13.72,24.7,0,0,0"
"y2040,MEA,SSP3,0,4.09,20.45,36.81,0,0,0"
"y2080,MEA,SSP1,0,12.71,63.57,114.42,0,0,0"
"y2075,MEA,SSP2,0,10.39,51.93,93.48,0,0,0"
"y2060,MEA,SSP2,0,8.15,40.76,73.37,0,0,0"
"y2035,MEA,SSP5,0,4.12,20.58,37.05,0,0,0"
"y2090,MEA,SSP3,0,14.31,71.57,128.82,0,0,0"
"y2035,MEA,SSP2,0,3.06,15.32,27.57,0,0,0"
"y2100,MEA,SSP1,0,13.2,65.98,118.76,0,0,0"
"y2095,MEA,SSP3,0,15.34,76.68,138.02,0,0,0"
"y2040,MEA,SSP5,0,5.49,27.45,49.4,0,0,0"
"y2035,MEA,SSP3,0,3.07,15.34,27.6,0,0,0"
"y2090,MEA,SSP1,0,13.14,65.7,118.26,0,0,0"
"y2055,MEA,SSP2,0,7.14,35.7,64.25,0,0,0"
"y2100,MEA,SSP3,0,16.36,81.79,147.23,0,0,0"
"y2025,MEA,SSP3,0,1.02,5.11,9.2,0,0,0"
"y2045,MEA,SSP2,0,5.11,25.53,45.95,0,0,0"
"y2065,MEA,SSP1,0,10.72,53.6,96.48,0,0,0"
"y2100,MEA,SSP4,0,23.81,119.03,214.26,0,0,0"
"y2025,MEA,SSP4,0,1.9,9.49,17.08,0,0,0"
"y2085,MEA,SSP1,0,12.93,64.63,116.34,0,0,0"
"y2050,MEA,SSP2,0,6.13,30.63,55.14,0,0,0"
"y2065,MEA,SSP2,0,8.94,44.71,80.47,0,0,0"
"y2085,MEA,SSP2,0,11.69,58.43,105.17,0,0,0"
"y2040,MEA,SSP2,0,4.08,20.42,36.76,0,0,0"
"y2070,MEA,SSP2,0,9.73,48.65,87.57,0,0,0"
"y2060,MEA,SSP1,0,9.98,49.88,89.79,0,0,0"
"y2045,MEA,SSP1,0,6.72,33.58,60.45,0,0,0"
"y2085,MEA,SSP3,0,13.29,66.46,119.62,0,0,0"
"y2030,MEA,SSP3,0,2.04,10.22,18.4,0,0,0"
"y2035,MEA,SSP1,0,4.05,20.26,36.47,0,0,0"
"y2050,MEA,SSP1,0,8.03,40.15,72.27,0,0,0"
"y2080,MEA,SSP2,0,11.04,55.21,99.38,0,0,0"
"y2090,MEA,SSP2,0,12.33,61.64,110.95,0,0,0"
"y2100,MEA,SSP2,0,13.29,66.44,119.6,0,0,0"
"y2040,MEA,SSP1,0,5.4,27.02,48.63,0,0,0"
"y2090,MEA,SSP4,0,21.64,108.2,194.76,0,0,0"
"y2055,MEA,SSP1,0,9.04,45.21,81.37,0,0,0"
"y2070,MEA,SSP1,0,11.46,57.32,103.17,0,0,0"
"y2070,MEA,SSP3,0,10.22,51.12,92.02,0,0,0"
"y2075,MEA,SSP3,0,11.25,56.23,101.22,0,0,0"
"y2095,MEA,SSP4,0,22.72,113.62,204.51,0,0,0"
"y2080,MEA,SSP3,0,12.27,61.34,110.42,0,0,0"
"y2030,MEA,SSP1,0,2.7,13.51,24.31,0,0,0"
"y2095,MEA,SSP2,0,12.81,64.04,115.28,0,0,0"
"y2025,MEA,SSP1,0,1.35,6.75,12.16,0,0,0"
"y2085,NEU,SSP3,0,1.54,7.72,13.89,0,0,1.54"
"y2075,NEU,SSP3,0,1.31,6.56,11.81,0,0,1.31"
"y2070,NEU,SSP3,0,1.2,5.98,10.77,0,0,1.2"
"y2040,NEU,SSP2,0,0.53,2.66,4.79,0,0,0.53"
"y2090,NEU,SSP1,0,1.84,9.22,16.6,0,0,1.84"
"y2035,NEU,SSP2,0,0.4,2,3.59,0,0,0.4"
"y2080,NEU,SSP1,0,1.82,9.1,16.37,0,0,1.82"
"y2050,NEU,SSP1,0,1.32,6.6,11.88,0,0,1.32"
"y2045,NEU,SSP2,0,0.67,3.33,5.99,0,0,0.67"
"y2090,NEU,SSP3,0,1.66,8.3,14.93,0,0,1.66"
"y2085,NEU,SSP1,0,1.83,9.16,16.49,0,0,1.83"
"y2100,NEU,SSP1,0,1.84,9.22,16.6,0,0,1.84"
"y2055,NEU,SSP1,0,1.53,7.66,13.79,0,0,1.53"
"y2080,NEU,SSP3,0,1.43,7.14,12.85,0,0,1.43"
"y2025,NEU,SSP2,0,0.13,0.67,1.2,0,0,0.13"
"y2075,NEU,SSP1,0,1.81,9.03,16.26,0,0,1.81"
"y2060,NEU,SSP3,0,0.97,4.83,8.69,0,0,0.97"
"y2065,NEU,SSP3,0,1.08,5.4,9.73,0,0,1.08"
"y2030,NEU,SSP2,0,0.27,1.33,2.39,0,0,0.27"
"y2095,NEU,SSP1,0,1.84,9.22,16.6,0,0,1.84"
"y2050,NEU,SSP3,0,0.72,3.62,6.52,0,0,0.72"
"y2090,NEU,SSP5,0,2.04,10.22,18.4,0,0,2.04"
"y2050,NEU,SSP2,0,0.8,3.99,7.18,0,0,0.8"
"y2070,NEU,SSP1,0,1.79,8.97,16.15,0,0,1.79"
"y2055,NEU,SSP3,0,0.84,4.22,7.6,0,0,0.84"
"y2045,NEU,SSP1,0,1.1,5.5,9.9,0,0,1.1"
"y2095,NEU,SSP5,0,2.08,10.4,18.72,0,0,2.08"
"y2095,NEU,SSP3,0,1.77,8.87,15.97,0,0,1.77"
"y2060,NEU,SSP1,0,1.74,8.69,15.63,0,0,1.74"
"y2035,NEU,SSP1,0,0.66,3.3,5.94,0,0,0.66"
"y2100,NEU,SSP5,0,2.12,10.58,19.05,0,0,2.12"
"y2075,NEU,SSP2,0,1.38,6.92,12.45,0,0,1.38"
"y2065,NEU,SSP1,0,1.77,8.83,15.89,0,0,1.77"
"y2040,NEU,SSP1,0,0.88,4.4,7.92,0,0,0.88"
"y2060,NEU,SSP5,0,1.82,9.1,16.38,0,0,1.82"
"y2080,NEU,SSP4,0,2,10,18,0,0,2"
"y2025,NEU,SSP1,0,0.22,1.1,1.98,0,0,0.22"
"y2030,NEU,SSP1,0,0.44,2.2,3.96,0,0,0.44"
"y2065,NEU,SSP5,0,1.86,9.3,16.74,0,0,1.86"
"y2045,NEU,SSP3,0,0.6,3.02,5.43,0,0,0.6"
"y2055,NEU,SSP2,0,0.92,4.61,8.3,0,0,0.92"
"y2070,NEU,SSP5,0,1.9,9.5,17.1,0,0,1.9"
"y2055,NEU,SSP5,0,1.6,8.02,14.44,0,0,1.6"
"y2085,NEU,SSP5,0,2.01,10.04,18.08,0,0,2.01"
"y2075,NEU,SSP4,0,1.99,9.96,17.94,0,0,1.99"
"y2100,NEU,SSP3,0,1.89,9.45,17.02,0,0,1.89"
"y2075,NEU,SSP5,0,1.94,9.68,17.43,0,0,1.94"
"y2065,NEU,SSP4,0,1.97,9.85,17.74,0,0,1.97"
"y2050,NEU,SSP4,0,1.49,7.47,13.44,0,0,1.49"
"y2080,NEU,SSP2,0,1.49,7.47,13.44,0,0,1.49"
"y2055,NEU,SSP4,0,1.72,8.62,15.52,0,0,1.72"
"y2080,NEU,SSP5,0,1.97,9.86,17.75,0,0,1.97"
"y2070,NEU,SSP4,0,1.99,9.93,17.87,0,0,1.99"
"y2085,NEU,SSP4,0,2,10,18,0,0,2"
"y2090,NEU,SSP4,0,2,10,18,0,0,2"
"y2060,NEU,SSP4,0,1.96,9.78,17.6,0,0,1.96"
"y2045,NEU,SSP4,0,1.25,6.27,11.29,0,0,1.25"
