"t","i","forestry","pasture"
"y1995","ANZ",6.02174321094264,0.110541221701858
"y1995","BRA",5.23514390563165,0.0704110362049254
"y1995","CAN",1.38065517103398,0.172581896379248
"y1995","CHA",6.2174925098221,0.0643235350833959
"y1995","DEA",1.22484455612105,0.153105569515131
"y1995","EUR",2.78072359621795,0.132009609541561
"y1995","IND",2.19044042929672,0.0544370969386247
"y1995","MEA",0.332192100182855,0.0415240125228569
"y1995","NEU",0.418370990104988,0.0522963737631235
"y1995","REF",0.774028449212997,0.0621437054840904
"y1995","RUS",1.56875356246622,0.0337587666687472
"y1995","SAF",0.383684677718232,0.047960584714779
"y1995","SAS",1.43213635272017,0.179017044090021
"y1995","SCO",1.04275950541416,0.0267810367035771
"y1995","SEA",3.86326040939876,0.0647703897556264
"y1995","TAF",0.468446391325513,0.047960584714779
"y1995","TLA",2.5539340177999,0.0267810367035771
"y1995","USA",2.7366680750064,0.0635178445774245
"y2000","ANZ",6.02174321094264,0.110541221701858
"y2000","BRA",5.23514390563165,0.0704110362049254
"y2000","CAN",1.38065517103398,0.172581896379248
"y2000","CHA",6.2174925098221,0.0643235350833959
"y2000","DEA",1.22484455612105,0.153105569515131
"y2000","EUR",2.78072359621795,0.132009609541561
"y2000","IND",2.19044042929672,0.0544370969386247
"y2000","MEA",0.332192100182855,0.0415240125228569
"y2000","NEU",0.418370990104988,0.0522963737631235
"y2000","REF",0.774028449212997,0.0621437054840904
"y2000","RUS",1.56875356246622,0.0337587666687472
"y2000","SAF",0.383684677718232,0.047960584714779
"y2000","SAS",1.43213635272017,0.179017044090021
"y2000","SCO",1.04275950541416,0.0267810367035771
"y2000","SEA",3.86326040939876,0.0647703897556264
"y2000","TAF",0.468446391325513,0.047960584714779
"y2000","TLA",2.5539340177999,0.0267810367035771
"y2000","USA",2.7366680750064,0.0635178445774245
"y2005","ANZ",6.02174321094264,0.110541221701858
"y2005","BRA",5.23514390563165,0.0704110362049254
"y2005","CAN",1.38065517103398,0.172581896379248
"y2005","CHA",6.2174925098221,0.0643235350833959
"y2005","DEA",1.22484455612105,0.153105569515131
"y2005","EUR",2.78072359621795,0.132009609541561
"y2005","IND",2.19044042929672,0.0544370969386247
"y2005","MEA",0.332192100182855,0.0415240125228569
"y2005","NEU",0.418370990104988,0.0522963737631235
"y2005","REF",0.774028449212997,0.0621437054840904
"y2005","RUS",1.56875356246622,0.0337587666687472
"y2005","SAF",0.383684677718232,0.047960584714779
"y2005","SAS",1.43213635272017,0.179017044090021
"y2005","SCO",1.04275950541416,0.0267810367035771
"y2005","SEA",3.86326040939876,0.0647703897556264
"y2005","TAF",0.468446391325513,0.047960584714779
"y2005","TLA",2.5539340177999,0.0267810367035771
"y2005","USA",2.7366680750064,0.0635178445774245
"y2010","ANZ",6.02174321094264,0.110541221701858
"y2010","BRA",5.23514390563165,0.0704110362049254
"y2010","CAN",1.38065517103398,0.172581896379248
"y2010","CHA",6.2174925098221,0.0643235350833959
"y2010","DEA",1.22484455612105,0.153105569515131
"y2010","EUR",2.78072359621795,0.132009609541561
"y2010","IND",2.19044042929672,0.0544370969386247
"y2010","MEA",0.332192100182855,0.0415240125228569
"y2010","NEU",0.418370990104988,0.0522963737631235
